Nume*;Email*;Județ*;Localitate*;Adresă*;Cod poștal*;Criterii de admitere*;Preț*;Servicii* - multiple;Categorii de îngrijire - multiple;Previzualizare imagine;Siglă cămin;Link video;Substituent video;Galerie imagini - multiple;Descriere scurtă*;Descriere*
"Centrul Rezidential pentru Persoane Varstnice";;;Pangarati-Neamt;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Geriatrie, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala, Recuperare neuromotorie";;;;;;;;"Situat intr-o zona mirifica, la mai putin de 10 Km de municipiul Piatra Neamt, Centrul Rezidential pentru Persoane Varstnice Pangarati imbina intr-un mod placut frumusetea locurilor cu confortul rezidentei si calitatea serviciilor cu profesionalismul personalului. 9 camere cu 2 si 3 paturi,cu baie proprie, un restaurant, bucatarie si minibucatatrie (chicineta) pentru mic dejun personalizat, club, cabinet medical si de recuperare, curte interioara complet pavata si securizata, monitorizare video, terasa de vara vor face ca bunicii sa se simta confortabil, respectati si ingrijiti. Camerele sunt situate la parter cu acces direct din curtea interioara. Tarife incepand de la 2400 RON/luna ce includ: – servicii complete de cazare, – 3 mese pe zi si doua suplimente intre mesele principale – servicii ingrijire de tip infirmier – servicii medicale de baza (medicina generala) – asistenta medicala si adminstrare medicatie sau tratament. Centrul ofera totodata la solicitare sau recomandare medicala: – kinetoterapie si recuperare medicala – servicii medicale de specialitate (psihiatrie, neurologie, geriatrie) – evaluare si consiliere psihologica – servicii de ingrijire si asistenta medicala postoperator sau la externarea din spital – servicii specializate nutritionist (meniuri personalizate) – servicii de asistenta sociala (ancheta sociala) Centrul Rezidential este infiintat in Neamt de Societatea Romana de Psihogeriatrie, este acreditat si licentiat de Ministerul Muncii si ANPIS RELATII la TEL: 0747470840 sau 0758878666"
"Camin de batrani Sfantul Nectarie";;;;;;;;"Asistenta medicala, Consult medical regulat, Geriatrie, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice";;;;;;;;"Centrul de ingrijire si supraveghere Sfantul Nectarie este o solutie ideala pentru cei ramasi singuri,in neputinte si boli sau pentru acei ce isi privesc senectutea ca un lung prilej de a se bucura de viata. De aceea, in pachetul de baza oferit de noi sunt incluse: Servicii de cazare: Asigurarea si servirea mesei: 3 mese principale si 2 gustari (snack-uri) Servicii medicale: – Periodic medic de medicina generala care evalueaza fiecare rezident – medici: geriatru, psiholog – Supraveghere medicala zilnica -Administrarea tratamentului Servicii de ingrijire personala: – Igienizarea si toaletarea rezidentilor ori de cate ori este nevoie – Asistarea si ajutarea rezidentilor in timpul servirii meselor – Curatenia zilnica si de cate ori este necesara a spatiului locativ – Asistarea rezidentilor in activitatile zilnice Socializare si petrecerea timpului liber: – Asistenta sociala si duhovniceasca zilnica- Terapie ocupationala- Organizare evenimente, petreceri, aniversariServicii suplimentare la cerere – Analize de laborator – Consultatii de specialitate in clinica privata – Examene paraclinice de specialitate – Servicii de coafura, frizerie, manichiura/pedichiura, ingrijire corporala si faciala Asezamintul este acreditat de Ministerul Muncii si Protectiei Sociale."
"Asociatia Acoperamantul Maicii Domnului";;;;;;;;"Asistenta medicala, Geriatrie, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane varstnice, Recuperare medicala";;;;;;;;"Asociatia noastra, acreditata de Ministerul Muncii, Protectiei Sociale si Familiei, este o solutie ideala pentru cei ramasi singuri,in neputinte si boli sau pentru acei ce isi privesc senectutea ca un lung prilej de a se bucura de viata. De aceea, in pachetul de baza oferit de noi sunt incluse: Servicii de cazare Asigurarea si servirea mesei – 3 mese principale si 2 snack-uri Servicii medicale: – Periodic medic de medicina generala care evalueaza fiecare rezident – medici: geriatru, psiholog – Supraveghere medicala zilnica -Administrarea tratamentului Servicii de ingrijire personala – Igienizarea si toaletarea rezidentilor ori de cate ori este nevoie – Asistarea si ajutarea rezidentilor in timpul servirii meselor – Curatenia zilnica si de cate ori este necesara a spatiului locativ – Asistarea rezidentilor in activitatile zilnice Socializare si petrecerea timpului liber -Asistenta sociala si duhovniceasca zilnica -Terapie ocupationala – Organizare evenimente, petreceri, aniversari Servicii suplimentare la cerere- Analize de laborator- Consultatii de specialitate in clinica privata – Examene paraclinice de specialitate – Servicii de coafura, frizerie, manichiura/pedichiura, ingrijire corporala si faciala Asezamintul este acreditat de Ministerul Muncii si Protectiei Sociale."
"Schwabenhause Diana";dianarosu1984@gmail.com;;;"Str. Principala Nr. 604, Lenauheim, Timis";;;;"Asistenta medicala, Consult medical regulat, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice";;;;;;"https://www.camine-batrani.ro/wp-content/uploads/2019/09/454_image_1.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/454_image_2.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/454_image_3.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/454_image_4.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/454_image_5.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/454_image_6.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/454_image_7.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/454_image_8.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/454_image_9.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/454_image_10.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/454_image_11.jpg";;"Aici este casa visurilor tale, aici suntem noi ce am dobandit experienta de ingrijitori in SPANIA, aici suntem noi cei care va supraveghem 24 de ore, aici suntem noi cei care va ingrijim cu respect si demnitate, aici suntem noi cei care va respectam intimitatea demnitatea si orientarea religioasa. Pentru D-vs avem internet 24 din 24 de ore, televizor color. Servicii: ingrijire persoane varstnice, ingrijire bolnavi, ingrijire bolnavi cu Alzheimer, asistenta medicala permanenta."
"Casa Paula’s";mutascu.cristian@gmail.com;;Timisoara;"Strada Olanda 39, Timișoara, Romania";;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala, Recuperare neuromotorie, Reflexoterapie";;;;;;"https://www.camine-batrani.ro/wp-content/uploads/2020/02/unnamed-2-1.jpg, https://www.camine-batrani.ro/wp-content/uploads/2020/02/unnamed-4-1.jpg, https://www.camine-batrani.ro/wp-content/uploads/2020/02/unnamed-5-1.jpg, https://www.camine-batrani.ro/wp-content/uploads/2020/02/unnamed-6.jpg";;"Mai mult decat un camin de batrani, Casa Paula`s este locul ideal pentru persoanele in varsta cu pierderi de autonomie fizica si/sau mentala, ceea ce le permite sa duca o viata implinita in ciuda starii de dependenta. Casa Paula`s va intampina cu o atmosfera moderna, calda si linistitoare. De la dezvoltarea de locuri commune si private la calitatea ingrijirii si a serviciilor, totul se face pentru a demonstra ca respectful, calitatea si inovatia sunt valorile pe care le aparam zilnic, datorita unui personal competent si calificat, care inconjoara seniorii intru-un mod dedicate si angajat. Pentru noi, batranetea nu este o povara ci o colectie de povesti ai caror martori ne dorim sa fim!"
"Casa Fabian";;;;;;;;"Ingrijire persoane varstnice";;;;;;;;"Bine ati venit pe pagina Casa FABIAN. Suntem un centru de ingrijire persoane varstnice si oferim servicii de cazare, ingrijire si asistenta acordata de personal calificat la sediul nostru din Timisoara, unde o constructie de 672 mp cu 20 de locuri disponibile (in camere de doua sau de trei paturi) precum si o curte primitoare intinsa pe 1500 mp ii asteapta pe cei a caror varsta sau nevoie nu le mai permite sa traiasca singuri sau alaturi de familiile lor. Targetul nostru este ca fiecare persoana varstnica ce ne calca pragul sa se simta integrat intr-o mica familie, aceea a celor care ingrijesc si apreciaza cu adevarat pe cel in nevoie, si sa gaseasca aici un sprijin de nadejde. Ne propunem de asemenea sa cooperam cu adevarat cu apartinatorii, care la randul lor sa viziteazeze cu drag mica noastra familie!"
"Caminul de varstnici Sfantul Ioan";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Ingrijire persoane varstnice, Recuperare medicala, Reflexoterapie";;;;;;;;"Caminul de varstnici Sf. Ioan din Timisoara functioneaza din 1992 si are in grija un numar de 20 de varstnici fara suport familial si cu venituri mici. Varstnicii beneficiaza gratuit de cazare, asistenta medicala, control medical, trei mese zilnice si diverse terapii. O echipa de 25 de persoane, din care 16 voluntari, se dedica lor zi de zi, fiind alaturi de ei. Astfel persoanele in varsta au parte atat de ingrijire socio-medicala adecvata, cat si de afectiune."
"Azil de batrani Nur";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Evaluare clinica, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala, Recuperare neuromotorie, Reflexoterapie";;;;;;;;"Am creat un centru complet unde putem sa ingrijim persoanele care doresc sa isi recupereze sau sa-si mentina starea de sanatate, unde putem sa oferim toata atentia, seriozitatea si dedicatia noastra pentru ceea ce facem. Centrul este format din personal cu experienta in asistarea si ingrijirea batranilor ba chiar mai mult, suntem singurul centru din judetul Timis care este patronat de un medic specialist care le acorda asistenta medicala permanenta. Credem cu tarie ca batranii nostrii ar fi mai fericiti incojurati de alti semeni, avand cu cine sa comunice, sa manance, sa socializeze. Mancarea proaspat gatita, ajutorul la igiena zilnica, servirea ireprosabila, sali de mese spatioase, sala de activitati, multa verdeata intr-o curte superba, afectiune si respect sunt cateva dintre ingredientele prin care centrul nostru inlatura singuratatea acestora si le face perioada senectutii mai frumoasa."
"Casa Harmonia";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Ingrijire bolnavi, Ingrijire persoane cu handicap, Ingrijire persoane varstnice";;;;;;;;"Pensiunea Harmonia nu este ceea ce se intelege prin “azil de batrani” sau “camin de batrani” ci este o solutie ideala pentru cei ramasi singuri, avand privilegiul de a darui o grija sporita celor ce isi privesc senectutea ca un lung prilej de a se bucura de viata."
"Casa Antonia-Maria";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane varstnice";;;;;;;;"Casa Antonia-Maria este locul ideal unde varstnicii dumneavoastra isi pot petrece anii de aur alaturi de un colectiv asemanator lor, fara grija munciilor cotidiene sau lipsurilor de zi cu zi. Suntem un centru de ingrijire persoane varstnice si oferim servicii de cazare, ingrijire si asistenta medicala pentru rezidentii nostri, precum si suport si sprijin pentru formalitatile in cazul necazurilor, astfel incat dragii vostri, dar si dumneaoastra, sa puteti sa va bucurati de viata fara grija. Deoarece comfortul este cel mai important pentru noi, oferim camere de maxim 2 persoane! Astfel, parintii sau bunicii dumneavoastra se pot bucura de liniste. Toate camerele sunt prevazute cu televizor propriu, baie proprie si mini-frigider. Localul nostru include o sala de masa/odihna, unde se poate petrece timpul in colectivitate. De altfel, mai avem un spatiu comun incapator care leaga camerele unde varstnicii se pot bucura de citit in liniste sau socializare aproape de camerele lor. Localul mai cuprinde si o curte mare cu bancute si mese, ideal pentru zilele calduroase."
"Asociatia Batraneti Insorite";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice";;;;;;;;"Asociatia “Batraneti insorite” este mai mult decat un camin, este un centru rezidential pentru seniori, conceput si dotat pentru a oferi maximum de confort si siguranta pentru varstnicii familiei dumneavoastra. Va oferim servicii la cele mai inalte standarde de calitate, cu un plus de personalizare si originalitate, intr-un mediu placut si familial menit sa confere caldura si sentimentul de ‘acasa’. Deviza noastra este sa ne daruim cu totii astfel incat cei care aleg sa vina la noi sa simta ca au venit intr-o familie, unde batranetea sa nu mai fie o povara, ci bucuria si frumusetea de a trai. Ne gasiti in localitatea Sacalaz, la 10 km distanta de Timisoara, intr-un cadru pefect pentru relaxare, cu multa verdeata, aer curat si ciripit de pasarele, ferit de zgomotul si poluarea din oras."
"Pensiunea Amurgul";;;;;;;;"Ingrijire bolnavi, Ingrijire persoane cu handicap, Ingrijire persoane varstnice";;;;;;;;"Centrul de ingrijire persoane in virsta din renumita statiune Buzias va asteapta. Va oferim sansa de a petrece o viata linistita lipsita de grijile de zi cu zi."
"Casa Paula’s";;;Timisoara;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala, Recuperare neuromotorie, Reflexoterapie";;;;;;;;"Mai mult decat un camin de batrani, Casa Paula`s este locul ideal pentru persoanele in varsta cu pierderi de autonomie fizica si/sau mentala, ceea ce le permite sa duca o viata implinita in ciuda starii de dependenta. Casa Paula`s va intampina cu o atmosfera moderna, calda si linistitoare. De la dezvoltarea de locuri commune si private la calitatea ingrijirii si a serviciilor, totul se face pentru a demonstra ca respectful, calitatea si inovatia sunt valorile pe care le aparam zilnic, datorita unui personal competent si calificat, care inconjoara seniorii intru-un mod dedicate si angajat. Pentru noi , batranetea nu este o povara ci o colectie de povesti ai caror martori ne dorim sa fim !"
"Casa Boemia";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Geriatrie, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala";;;;;;;;"CASA BOEMIA este un centru de ingrijire a persoanelor varstnice si a caror dependenta creeaza nevoia de asistenta medicala permanenta, scopul principal este monitorizarea starii de sanatate , asigurarea conditiei fizice si psihice pentru depasirea momentelor critice si recuperarea capacitatii individuale. Personalul administrativ, echipa medicala cat si cel de igrijire asigura siguranta si confort intr-un cadru bine organizat prin programe individualizate pentru fiecare rezident, centrul acorda o atentie deosebita persoanelor de varsta a treia, investind in programe de integrare in societate si familie a beneficiarilor sai furnizand servicii de calitate specializate."
